Artist,Percentage_Listened
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.00010897495524884048
"""Les Misérables Original London Cast"" Ensemble",0.012528236171700872
"""Weird Al"" Yankovic",0.04827393435157758
'Legally Blonde' Ensemble,0.23409234743253104
'Legally Blonde' Greek Chorus,0.08731235717661938
'Little Women' Original Broadway Cast,0.00026582933232509705
'Something Rotten' Ensemble,0.002625890663684959
*NSYNC,0.05511576461375119
10 String Symphony,0.003368195598215092
2 Chainz,0.026122398115779898
2021 London Cast of Cabaret,0.00010184521083628338
21 Savage,1.8548928552994124e-05
25th Annual Putnam County Spelling Bee Original Cast,0.009839800839551285
25時、ナイトコードで。,0.018578027184661634
2CELLOS,0.11951219580198436
2Pac,0.00011303253336980795
3 Doors Down,0.018233364905986312
32ki,0.03569689131162164
3OH!3,2.2026852656680523e-05
3年E組うた担(渚&茅野&業&磯貝&前原),0.0001991691203377744
4 Non Blondes,5.564678565898237e-05
4*TOWN (From Disney and Pixar’s Turning Red),0.0026909858098256223
40mP,0.0004339869627383344
5 Seconds of Summer,0.0022402468459878653
600 Ent.,0.014262387095200637
8-Bit Arcade,0.005455703610649397
90´s or 20´s cartoons,0.011014643601776552
99 Souls,0.004969779647962679
9Lana,0.01801518313388172
9infidell,0.0011009368750219295
A Chorus Line Ensemble (2006),8.89768916526437e-05
A Day To Remember,0.01143077722078263
A Dreaming Machine,0.012404595969814821
A$AP Rocky,1.1593080345621328e-07
A-Trak,0.002099622781395479
ABBA,0.08537260297319002
ACN Music.,0.00044882610558072964
AFROJACK,0.10721958898830823
AJ Michalka,0.011728719385665097
AKB48,0.030715634514116796
ALICESOFT,0.004388560564834954
ASIAN KUNG-FU GENERATION,0.0015017676279717868
ATLUS GAME MUSIC,0.15811089308951673
AURORA,0.011372290130438969
AVTechNO!,0.00019511154221680697
Aaliyah Rose,0.0007712296699924588
Aaron Daniel Jacob,0.02257561111484051
Aaron Fraser-Nash,0.0001755192364327069
Aaron Grubb,0.003183691724514529
Abreu Project,0.006980135710696873
Academy of St. Martin in the Fields,0.006689323290226963
Adam Dannheisser,8.387593630057031e-05
Adam Hicks,0.043444373010395186
Adam Jacobs,4.45174285271859e-05
Adam Kantor,9.981642177579964e-05
Adam Lambert,0.4490755307043658
Adam Levine,0.02466810415182343
Adam Pascal,0.01167776779754609
Adam Schlesinger,0.12374639450201735
Adassa,0.012615763928310313
Adele,0.3756909843241724
Ado,0.1993897946221533
Adriana Figueroa,8.283255906946438e-05
Adventure Time,0.13398580882108221
Aerosmith,3.953240397856873e-05
After the Rain,0.034708755108362604
Aidan Veney,0.0007092646555451128
Aiden DX,0.6542006540351049
Aimie Atkinson,0.06993004029880513
Aja,0.023310554443351172
Akbar V,0.013755711518695257
Akiko Shikata,0.0007187130160267942
Akon,0.02366089733139585
Aladdin Original Broadway Cast,0.023885803090100903
Alan Walker,6.051587940414333e-05
Alarm Clock Sounds,0.00014711618958593463
Alarm Clock Tones,0.00014711618958593463
Alaska Thunderfuck,0.14915506462631906
Alec Benjamin,0.004329319924268829
Alessia Cara,0.008355306901294475
Alex Boniello,0.0008615397658848491
Alex Brightman,0.0007886192905108908
Alex Lacamoire,0.12314720614435393
Alex Newell,0.0004212345743581509
Alex Suarez,0.014011338940316208
Alex Warren,0.008792192134119215
Alexander Bello,6.874696644953448e-05
Alexander Lewis,0.002410143438452946
Alexandra Stan,0.06351698011321433
Alexis Michelle,0.023310554443351172
Alice Lee,0.099152891822218
Alicia Kaori,0.008381913020687677
Alicia Keys,0.07463567161109283
Alisan Porter,0.02025618353009205
All Time Low,0.020433209866969688
Allday,0.00320357385730727
Alok,8.654234478006321e-05
Alphaville,0.003229948115093558
Alstroemeria Records,0.018515656412402194
Alvino,8.03400467951558e-05
Alx Luke,5.5183062445157515e-05
Aly & AJ,0.07342187609890627
Alyson Stoner,0.02358432503571302
AmaLee,0.00017227317393593293
Amanda Bynes,0.0129774680350937
Amanda Jones,0.02548698138203639
Amanda Lepore,0.0
Amanda Seyfried,0.0036596456381040123
Amber Efe,0.024000690516326008
Amelia Day,0.011599630436016604
Amy Adams,0.08220890931227169
Amy B,0.01214102728815712
Amy Hill,0.0011857402577501496
Amy Lee,0.0038954488923339504
Amy Macdonald,3.953240397856873e-05
Amy Winehouse,0.02753797119138199
AnAverageJames,6.306635708018002e-05
Ana Isabelle,0.010334071820086851
Ana Tijoux,9.825135592914075e-05
Anamanaguchi,0.0556406413263992
Anarbor,0.0011438312723007283
Anastasia Company,6.921068966335932e-05
Anderson .Paak,0.009997930455465561
Andra Day,7.802143072603153e-05
Andrea Burns,0.027953583121772516
Andrea Storm Kaden,0.03352956494100773
Andrew Barret Cox,0.00890348570543718
Andrew Burnap,0.0001290889496484935
Andrew Gold,0.00878958369104145
Andrew Lloyd Webber,0.024563650497909383
Andrew Rannells,0.0751835605882269
Andrew Skeet,0.00039839620607727696
Andrew Underberg,0.0022336967555925892
André Ward,0.06628853783144202
Andréa Burns,0.010334071820086851
Andrés du Bouchet,0.004637000276641619
Andy Angel,0.04182139972740993
Andy Daly,0.004637000276641619
Andy Nyman,0.01544406977482982
Angela Cartwright,0.00025962703434018967
Angelica Cox,0.0001466524663721098
Anika Larsen,0.06628853783144202
Anika Noni Rose,0.008484221954737785
Animaniacs,0.004454409261198083
