endTime,artistName,trackName,msPlayed,user_id
2023-12-09 03:07:00,girl in red,.,35363,sammi
2023-12-09 03:14:00,Idina Menzel,I Hate You,282306,sammi
2023-12-09 03:17:00,Jeremy Jordan,Raise a Little Hell,188880,sammi
2023-12-09 03:20:00,SMASH Cast,Don't Say Yes Until I Finish Talking (SMASH Cast Version) (feat. Christian Borle),162626,sammi
2023-12-09 03:35:00,Jeremy Jordan,Moving Too Fast,125691,sammi
2023-12-09 03:38:00,Reneé Rapp,So What Now,170986,sammi
2023-12-09 03:41:00,Couch,Still Feeling You,191959,sammi
2023-12-09 03:44:00,Noah Kahan,Homesick,194416,sammi
2023-12-09 03:48:00,Ed Sheeran,What Do I Know?,237333,sammi
2023-12-09 03:53:00,Noah Kahan,New Perspective,256871,sammi
2023-12-09 03:56:00,Lizzy McAlpine,reckless driving,189247,sammi
2023-12-09 03:59:00,Trousdale,If I'm Honest,162701,sammi
2023-12-09 04:03:00,P!nk,Sober,251533,sammi
2023-12-09 22:34:00,The Chicks,Ready to Run,192284,sammi
2023-12-09 22:36:00,Julien Baker,Relative Fiction,259266,sammi
2023-12-09 22:40:00,Olivia Barton,White Knuckling,2581,sammi
2023-12-09 22:40:00,Julien Baker,Favor,1344,sammi
2023-12-09 22:40:00,boygenius,Stay Down,240983,sammi
2023-12-09 22:40:00,Adrianne Lenker,anything,18835,sammi
2023-12-09 22:45:00,Lizzy McAlpine,doomsday,268432,sammi
2023-12-09 22:47:00,Sabrina Carpenter,emails i can’t send,104408,sammi
2023-12-09 22:49:00,Lizzy McAlpine,Means Something,144631,sammi
2023-12-09 22:50:00,Billie Eilish,Male Fantasy,15725,sammi
2023-12-09 22:54:00,Olivia Barton,Cartwheel,6698,sammi
2023-12-09 22:54:00,Olivia Barton,Cartwheel,223189,sammi
2023-12-09 22:54:00,Olivia Barton,Good Sign - Live Version,2026,sammi
2023-12-09 22:54:00,Tommy Lefroy,The Mess,853,sammi
2023-12-09 22:56:00,Olivia Barton,Florida Honey,138789,sammi
2023-12-09 22:57:00,Olivia Barton,Big Sad,3050,sammi
2023-12-09 22:57:00,Olivia Barton,White Knuckling,69862,sammi
2023-12-09 22:57:00,Olivia Barton,Thursday,1600,sammi
2023-12-09 23:07:00,Olivia Barton,Fun,313450,sammi
2023-12-11 03:22:00,'In The Heights' Original Broadway Company,Breathe,2048,sammi
2023-12-11 03:26:00,'In The Heights' Original Broadway Company,Breathe,242274,sammi
2023-12-11 03:30:00,Anna Kendrick,A Part of That,240120,sammi
2023-12-11 03:32:00,Daniel Huttlestone,Giants in the Sky,146080,sammi
2023-12-11 03:35:00,Anna Kendrick,A Miracle Would Happen / When You Come Home to Me,159192,sammi
2023-12-11 03:39:00,SIX,Don't Lose Ur Head,245303,sammi
2023-12-11 03:40:00,Glee Cast,Paradise By The Dashboard Light (Glee Cast Version),25825,sammi
