endTime,artistName,trackName,msPlayed,user_id,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,release_date,genres,percentage_listened
2023-12-12 14:11:00,CoComelon,Clean up Song,130085,shari,https://open.spotify.com/track/2GToYdregYT3o89jbo9daC,2GToYdregYT3o89jbo9daC,"CoComelon Kids Hits, Vol. 4",41.0,157824.0,10.0,https://i.scdn.co/image/ab67616d0000b273200258a047cc9407facfb606,['CoComelon'],2020-06-04,"[""children's music"", ""preschool children's music""]",82.42409266017843
2023-12-12 14:40:00,Simon & Garfunkel,Scarborough Fair / Canticle,190346,shari,https://open.spotify.com/track/3g2fYZW5v2od8KIF7VktT0,3g2fYZW5v2od8KIF7VktT0,"Parsley, Sage, Rosemary And Thyme",57.0,190346.0,1.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:43:00,Simon & Garfunkel,Patterns,162586,shari,https://open.spotify.com/track/4UXEoEb1hOcOI8Fnz2sHlV,4UXEoEb1hOcOI8Fnz2sHlV,"Parsley, Sage, Rosemary And Thyme",34.0,162586.0,2.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:45:00,Simon & Garfunkel,Cloudy,131640,shari,https://open.spotify.com/track/3C3F1scQRdhKRH1IBbszEE,3C3F1scQRdhKRH1IBbszEE,"Parsley, Sage, Rosemary And Thyme",35.0,131640.0,3.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:48:00,Simon & Garfunkel,Homeward Bound,149613,shari,https://open.spotify.com/track/4Xl2PrS3DJqqSKXCo6Uhv9,4Xl2PrS3DJqqSKXCo6Uhv9,"Parsley, Sage, Rosemary And Thyme",62.0,149613.0,4.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:50:00,Simon & Garfunkel,The Big Bright Green Pleasure Machine,163186,shari,https://open.spotify.com/track/6744JWCcHMoA1T2UU2HhMD,6744JWCcHMoA1T2UU2HhMD,"Parsley, Sage, Rosemary And Thyme",30.0,163186.0,5.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:52:00,Simon & Garfunkel,The 59th Street Bridge Song (Feelin' Groovy),103560,shari,https://open.spotify.com/track/0dzbfio3qTYG9uk40SJNcr,0dzbfio3qTYG9uk40SJNcr,"Parsley, Sage, Rosemary And Thyme",54.0,103560.0,6.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:55:00,Simon & Garfunkel,The Dangling Conversation,158773,shari,https://open.spotify.com/track/1tQy2AqgFc0AdddmIboIfX,1tQy2AqgFc0AdddmIboIfX,"Parsley, Sage, Rosemary And Thyme",44.0,158773.0,7.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:57:00,Simon & Garfunkel,Flowers Never Bend with the Rainfall,131746,shari,https://open.spotify.com/track/0qSITuCPLxjoDtESBy70WO,0qSITuCPLxjoDtESBy70WO,"Parsley, Sage, Rosemary And Thyme",45.0,131746.0,8.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
2023-12-12 14:59:00,Simon & Garfunkel,A Simple Desultory Philippic,133920,shari,https://open.spotify.com/track/6SBSYKJZHwBY4YAJcd6smq,6SBSYKJZHwBY4YAJcd6smq,"Parsley, Sage, Rosemary And Thyme",31.0,133920.0,9.0,https://i.scdn.co/image/ab67616d0000b273fb107b5a07df183f1836d9cb,['Simon & Garfunkel'],1966-10-10,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock', 'soft rock']",100.0
