trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
One Day More,"""Les Misérables Original London Cast"" Ensemble",https://open.spotify.com/track/6cdcZzuQzUhspZo2aJfKaH,6cdcZzuQzUhspZo2aJfKaH,Les Misérables (Original 1985 London Cast Recording),47.0,216133.0,20.0,https://i.scdn.co/image/ab67616d0000b273fbb690abbb502edd3c70f933,"['""Les Misérables Original London Cast"" Ensemble']",,1985-01-01,[]
Smells Like Nirvana,"""Weird Al"" Yankovic",https://open.spotify.com/track/3rREGSHjY1RmsTj81wL5X4,3rREGSHjY1RmsTj81wL5X4,Off The Deep End,40.0,225133.0,1.0,https://i.scdn.co/image/ab67616d0000b27325c94bb14a135cf9e096c5cc,"['""Weird Al"" Yankovic']",,1992-01-01,"['comedy rock', 'comic', 'parody']"
Eat It,"""Weird Al"" Yankovic",https://open.spotify.com/track/0WuYuWhLws8VahMy2zLLRJ,0WuYuWhLws8VahMy2zLLRJ,"The Essential ""Weird Al"" Yankovic",42.0,200626.0,3.0,https://i.scdn.co/image/ab67616d0000b273e840912a60b4d50e0b75154b,"['""Weird Al"" Yankovic']",,2009,"['comedy rock', 'comic', 'parody']"
Ricky,"""Weird Al"" Yankovic",https://open.spotify.com/track/76QlOaKjVbxqduVcwcQZWx,76QlOaKjVbxqduVcwcQZWx,"""Weird Al"" Yankovic",26.0,157066.0,1.0,https://i.scdn.co/image/ab67616d0000b273e4fb9de71f82f15b470f4583,"['""Weird Al"" Yankovic']",,1983,"['comedy rock', 'comic', 'parody']"
The Club,'In The Heights' Original Broadway Company,https://open.spotify.com/track/1v4kdQ6zcsgHSxKMHefzKV,1v4kdQ6zcsgHSxKMHefzKV,In the Heights (Original Broadway Cast Recording),35.0,358333.0,11.0,https://i.scdn.co/image/ab67616d0000b27366b1115c61aed2e5f646a3c1,"[""'In The Heights' Original Broadway Company""]",,2008-06-03,['broadway']
Breathe,'In The Heights' Original Broadway Company,https://open.spotify.com/track/6OSTrvIX8JXxRxFT4C9y0J,6OSTrvIX8JXxRxFT4C9y0J,In the Heights (Original Broadway Cast Recording),47.0,244066.0,2.0,https://i.scdn.co/image/ab67616d0000b27366b1115c61aed2e5f646a3c1,"[""'In The Heights' Original Broadway Company"", 'Mandy Gonzalez']",,2008-06-03,"['broadway', 'show tunes']"
Whipped into Shape,'Legally Blonde' Ensemble,https://open.spotify.com/track/0u9Qa4tnR77Tbb0uX1hs41,0u9Qa4tnR77Tbb0uX1hs41,Legally Blonde The Musical (Original Broadway Cast Recording),46.0,260839.0,12.0,https://i.scdn.co/image/ab67616d0000b2731828473d593f22288c795e5c,"[""'Legally Blonde' Ensemble"", 'Michael Rupert', 'Nikki Snelson']",,2007-07-16,"['broadway', 'show tunes']"
Blood in the Water,'Legally Blonde' Ensemble,https://open.spotify.com/track/2ewb4VJoSMG1FuSkFKoMgO,2ewb4VJoSMG1FuSkFKoMgO,Legally Blonde The Musical (Original Broadway Cast Recording),42.0,289960.0,5.0,https://i.scdn.co/image/ab67616d0000b2731828473d593f22288c795e5c,"[""'Legally Blonde' Ensemble"", 'Michael Rupert']",,2007-07-16,"['broadway', 'show tunes']"
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,62bOmKYxYg7dhrC6gH9vFn,No Strings Attached,84.0,200400.0,1.0,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909,['*NSYNC'],,2000-03-21,"['boy band', 'dance pop', 'pop']"
Girlfriend,*NSYNC,https://open.spotify.com/track/6u5flhVFxKZrl9AApvf2SL,6u5flhVFxKZrl9AApvf2SL,Celebrity,51.0,253600.0,4.0,https://i.scdn.co/image/ab67616d0000b273270bccf2f538d6f170bd0e2d,['*NSYNC'],,2001-07-24,"['boy band', 'dance pop', 'pop']"
Even a Dog Has Dreams,10 String Symphony,https://open.spotify.com/track/67rz8gcHeGHJc4JekoVVq9,67rz8gcHeGHJc4JekoVVq9,Weight of the World,32.0,120320.0,9.0,https://i.scdn.co/image/ab67616d0000b27370b359b7aa60b5ed376c33ac,['10 String Symphony'],,2015-10-23,['neo-traditional bluegrass']
Space,22 the Light,https://open.spotify.com/track/78eMPDCJq8Cxo5PMwDZObL,78eMPDCJq8Cxo5PMwDZObL,1922,7.0,236404.0,14.0,https://i.scdn.co/image/ab67616d0000b27321a0499afe78187ff1789ee5,['22 the Light'],,2024-04-05,[]
Dead 0' Alive,22 the Light,https://open.spotify.com/track/7FNWqrOcP6qfH7HBdgs0xo,7FNWqrOcP6qfH7HBdgs0xo,1922,8.0,185000.0,4.0,https://i.scdn.co/image/ab67616d0000b27321a0499afe78187ff1789ee5,['22 the Light'],,2024-04-05,[]
ビターチョコデコレーション (feat. 宵崎奏&朝比奈まふゆ&東雲絵名&暁山瑞希&初音ミク),25時、ナイトコードで。,https://open.spotify.com/track/3JAiQh1GdTyryyj9FCH0ow,3JAiQh1GdTyryyj9FCH0ow,25時、ナイトコードで。 SEKAI ALBUM vol.1,55.0,197320.0,10.0,https://i.scdn.co/image/ab67616d0000b273c0427faf8898712182a84a06,['25時、ナイトコードで。'],,2022-04-06,[]
カトラリー (feat. 宵崎奏&朝比奈まふゆ&初音ミク),25時、ナイトコードで。,https://open.spotify.com/track/0AwJspaHoAf5Sq7HNJSdIC,0AwJspaHoAf5Sq7HNJSdIC,25時、ナイトコードで。 SEKAI ALBUM vol.1,43.0,235453.0,11.0,https://i.scdn.co/image/ab67616d0000b273c0427faf8898712182a84a06,['25時、ナイトコードで。'],,2022-04-06,[]
California Love - Original Version,2Pac,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35,3ia3dJETSOllPsv3LJkE35,Greatest Hits,79.0,284906.0,6.0,https://i.scdn.co/image/ab67616d0000b273d81a092eb373ded457d94eec,"['2Pac', 'Roger', 'Dr. Dre']",,1998-01-01,"['funk', 'g funk', 'gangster rap', 'hip hop', 'new jack swing', 'p funk', 'post-disco', 'quiet storm', 'rap', 'west coast rap']"
