trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
Weed Card,Garfunkel and Oates,https://open.spotify.com/track/03x4qrIjPj5QnHmfOmol16,03x4qrIjPj5QnHmfOmol16,All Over Your Face,24,115866,2,https://i.scdn.co/image/ab67616d0000b273b8f1df041012243ac34a94e2,['Garfunkel and Oates'],,2011-02-01,['comic']
I'd Have to Think About It,Leith Ross,https://open.spotify.com/track/3MkEVGXroAZV4BAtBV9yOf,3MkEVGXroAZV4BAtBV9yOf,I'd Have to Think About It,53,150141,1,https://i.scdn.co/image/ab67616d0000b273567d0626c7f9f78c48be18aa,['Leith Ross'],,2021-10-08,"['indie pop', 'pov: indie']"
キミの冒険,Okazaki Taiiku,https://open.spotify.com/track/0fes6t9kQReumEBug0uw2A,0fes6t9kQReumEBug0uw2A,「劇場版ポケットモンスター ココ」テーマソング集,30,254066,9,https://i.scdn.co/image/ab67616d0000b2734c3bc69707e539958238cfd9,['Okazaki Taiiku'],,2020-12-23,"['j-rock', 'japanese electropop']"
未来コネクション,ЯeaL,https://open.spotify.com/track/6C3pU858NJKAxoK3CMFMKf,6C3pU858NJKAxoK3CMFMKf,ライトアップアンビバレンツ,37,250600,9,https://i.scdn.co/image/ab67616d0000b2733f867cc44752c92be84cd033,['ЯeaL'],,2020-09-16,['anime rock']
ゲッタバンバン,Tomohisa Sako,https://open.spotify.com/track/5sKChzlnMVcQxt5ioQ6p1O,5sKChzlnMVcQxt5ioQ6p1O,僕から君へ,40,249320,1,https://i.scdn.co/image/ab67616d0000b27392864786b81f9e0eddf779db,['Tomohisa Sako'],,2015-07-22,['anime rock']
タイプ：ワイルド,Shoko Nakagawa,https://open.spotify.com/track/1waTTGQBBqbEPX6xc3weBQ,1waTTGQBBqbEPX6xc3weBQ,Kaze To Issho Ni,19,207226,2,https://i.scdn.co/image/ab67616d0000b273306519dfc19100d150821dd7,['Shoko Nakagawa'],,1998,"['anime', 'anime rock']"
ポーズ,Okazaki Taiiku,https://open.spotify.com/track/7e4zKvnl9L9z4wCSQCt6xo,7e4zKvnl9L9z4wCSQCt6xo,「劇場版ポケットモンスター ココ」テーマソング集,20,233786,7,https://i.scdn.co/image/ab67616d0000b2734c3bc69707e539958238cfd9,['Okazaki Taiiku'],,2020-12-23,nan
手をつなごう,Shiritsu Ebisu Chugaku,https://open.spotify.com/track/6anuSRaKSp8STQcKBTXjMg,6anuSRaKSp8STQcKBTXjMg,中人,24,334866,14,https://i.scdn.co/image/ab67616d0000b27352c21afefef34c56356d0fbb,['Shiritsu Ebisu Chugaku'],,2013-07-31,"['j-idol', 'j-pop girl group']"
V,Yusuke,https://open.spotify.com/track/1qBlFGgmdtVV1tg81aVLlo,1qBlFGgmdtVV1tg81aVLlo,あの・・旅の途中なんですケド。コンプリートパック,40,229453,13,https://i.scdn.co/image/ab67616d0000b273db680bb9ce05b36064b59ed1,['Yusuke'],,2014-03-19,['j-pop']
めざせポケモンマスター,kobasolo,https://open.spotify.com/track/5BwRJbuPNXwewCiUfnvDEi,5BwRJbuPNXwewCiUfnvDEi,MIRAI COVERS,20,254893,3,https://i.scdn.co/image/ab67616d0000b273b61e3ba1cb930e869141785f,"['kobasolo', '未来']",,2018-08-27,['anime rock']
1・2・3,西川くんとキリショー,https://open.spotify.com/track/0Lht8RMgwajlME65mvaUoQ,0Lht8RMgwajlME65mvaUoQ,1・2・3,34,296416,1,https://i.scdn.co/image/ab67616d0000b2738dfa902d16b26dea0364d5f3,['西川くんとキリショー'],,2020-09-30,['otacore']
ドリドリ,Shoko Nakagawa,https://open.spotify.com/track/6cCWp8qzAYgy5dCUfFB1IZ,6cCWp8qzAYgy5dCUfFB1IZ,RGB - True Color,26,236240,1,https://i.scdn.co/image/ab67616d0000b273e89a089d11262e41f095a132,['Shoko Nakagawa'],,2015,"['anime', 'anime rock']"
メガV,Yusuke,https://open.spotify.com/track/0KYqN5CqDUMSzMBRT8rW8j,0KYqN5CqDUMSzMBRT8rW8j,遊助 BEST 2009-2019 〜あの・・あっとゆー間だったんですケド。〜,35,225720,23,https://i.scdn.co/image/ab67616d0000b2731113213080533604097e99df,['Yusuke'],,2019-02-27,['j-pop']
１・２・３,からあげ姉妹,https://open.spotify.com/track/5eOz8xzZX9J5oSGTdifRgz,5eOz8xzZX9J5oSGTdifRgz,１・２・３,34,294471,1,https://i.scdn.co/image/ab67616d0000b273289b97b7b7be74b1c65fb0b0,['からあげ姉妹'],,2021-02-19,['otacore']
Don't Stop 'Til You Get Enough,Michael Jackson,https://open.spotify.com/track/46eu3SBuFCXWsPT39Yg3tJ,46eu3SBuFCXWsPT39Yg3tJ,Off the Wall,72,365466,1,https://i.scdn.co/image/ab67616d0000b2737027294551db4fda68b5ddac,['Michael Jackson'],,1979-08-10,"['r&b', 'soul']"
Unknown Track,Unknown Artist,https://open.spotify.com/track/47FlbrwMWmaaC87mkVbwcZ,47FlbrwMWmaaC87mkVbwcZ,Pure Density,4,56749,7,https://i.scdn.co/image/ab67616d0000b273d707d15d388c5713820e3cec,['Unknown Artist'],,2023-01-09,[]
